Permit__,Permit_Type_Description,Permit_Subtype_Description,Parcel,Date_Entered,Date_Issued,Const_Cost,Address,City,State,Subdivision_Lot,Contact,Per_Ty,Per_SubTy,IVR_Trk_,Purpose,Council_Dist,Lon,Lat,ObjectId,ZIP
T2022008329,Building Residential - Roofing / Siding,"Multifamily, Tri-Plex, Quad, Apartments",14711003000,1644213600000,,38391,526 NORTHCREST DR,NASHVILLE,TN,W SIDE COTTON LANE N OF NORTHCREST DR,ATLANTA'S RELIABLE ROOFING,CARK,CAA03R398,4087941,REROOF - TO REMOVE AND REPLACE ROOF SHINGLES.  INSTALLING CERTAINTEED ARCHITECTURAL SHINGLES IN BLACK WITH A PEEL N STICK BASE AND CAP SHEET ON CANOPY AREA (BLDG R),26,-86.72668323,36.06802617,1,37211
T2022008343,Building Commercial - New,"Camp, Gymnasiums",12900000700,1644213600000,,0,801 C PERCY WARNER BLVD,NASHVILLE,TN,E. SIDE HIGHWAY 70 S.,Cole Cheek,CACN,CAL18A311,4087970,"Build a new 2-story 6,250 sf art center that will be complete with new mechanical, plumbing and electrical.  Building to include community hall, office, art room, restrooms, and kitchen. POC: Cole Cheek, 931-698-6601.",23,-86.89103796,36.08542971,2,37205
T2022008565,Building Sign Permit,"Retail, Department / Retail Stores",02600017500,1644300000000,,3620,2232 GALLATIN PIKE N,MADISON,TN,LOT 2 WAL-MART LIBERTY LANE SUBDIVISION,"SIGN CRAFTERS, INC",CASN,CAF20M001,4088316,"To erect 1 illuminated and 1 non-illuminated wall signs for Wal-Mart. Both wall signs are to be located on the front elevation. No wall sign to exceed 15% of the façade.     -  Pick Up  sign (illuminated):65.43sqft  - “Pharmacy Drive-Thru” sign (non-illuminated):40.33sqft  Plans Review stamped plans attached in Cityworks.    POC: Michael Fuller, mfuller@berryhutton.com, 423.267.2234 ext. 129",10,-86.68580661,36.30827906,3,37115
T2022009022,Building Residential - New,"Accessory Structure, Garage",08310035000,1644386400000,,18934,618 B SKYVIEW DR,NASHVILLE,TN,LOT 40 ROLLING ACRES,"HALEY, MEGAN & LOPEZ, JORGE LUIS JR.",CARN,CAA14U009,4089141,TO CONSTRUCT 14’X28’ DETACHED GARAGE TO REAR OF EXISTING SINGLE FAMILY RESIDENCE… …3’ MINIMUM SIDE SETBACK… …10’ MINIMUM REAR SETBACK… …16’ MAXIMUM HEIGHT… …NOT TO BE USED AS LIVING SPACE OR FOR COMMERCIAL PURPOSES… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …,6,-86.73220834999998,36.17904741,4,37206
T2022009038,Building Residential - Addition,Single Family Residence,05108006600,1644386400000,,10143,238 EMMITT AVE,MADISON,TN,LOT 16 BLK I POWER & ROTH MADISON PARK,"STRACHAN, JEFFREY",CARA,CAA01R301,4089166,"TO CONSTRUCT 14'x30' ADDITION OFF REAR OF EXISTING SINGLE FAMILY (14'X14' ADDITION FOR PANTRY AND 14'X16' COVERED DECK)… …TO INCLUDE INTERIOR RENOVATIONS AND REPAIR OF HANDRAIL ON EXISTING FRONT PORCH (NO CHANGE TO BUILDING FOOTPRINT ALONG FRONT FACADE)... ...5’ MINIMUM SIDE SETBACK… …20’ MINIMUM REAR SETBACK… …NO SECOND KITCHEN, TO REMAIN SINGLE FAMILY RESIDENCE… …NOT TO BUILD OVER OR OBSTRUCT EASEMENTS… …",7,-86.71394660999998,36.25162408,5,37115
T2022009279,Building Residential - New,Single Family Residence,070093C00200CO,1644472800000,,199440,2301 ALPINE AVE,NASHVILLE,TN,UNIT B THIRTYTWOHUNDRED CURTIS STREET,"BATES, DANIEL ELI",CARN,CAA01R301,4089471,"REJECTED: MUST PROVIDE FLOOR PLANS SHOWING ATTACHED 2 CAR GARAGE WITH SQUARE FOOTAGE TOTALS.  PARKING PROPOSED BETWEEN THE STREET LINE AND THE FRONT EDGE OF THE RESIDENTIAL STRUCTURE SHALL PROVIDE A MININIMUM STREET SETBACK OF 30 FEET.      TO CONSTRUCT REAR UNIT OF PROPOSED HORIZONTAL PROPERTY LINE REGIME DUPLEX WITH 1645 SQFT OF LIVING AREA… …UNITS DETACHED… …FRONT UNIT EXISTING... ...70.2’ MIN FRONT SETBACK… …5’ MIN SIDE SETBACK… …10’ MIN STREET/SIDE SETBACK… …20’ MIN STREET/SIDE SETBACK AT GARAGE FACING STREET… …20’ MIN REAR SETBACK… …MAX BLDG HEIGHT 28’ FEET… …6’ MINIMUM DISTANCE BETWEEN UNITS… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …    *** FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY… …     ***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED… …",2,-86.82863646,36.19966289,6,37218
T2022009360,Building Commercial - Rehab,"General Office, Professional Services",09306204400,1644472800000,,215000,200 BROADWAY,NASHVILLE,TN,PT LOT 30 ORIGINAL TOWN OF NASHVILLE,shane tresch,CACR,CAD02B016,4089589,To conduct interior demo of existing building only. no rehab work or demolition of building exterior. No use and occupancy this permit. Rehab will be by separate permit.,19,-86.77552292999998,36.16198856,7,37201
2023023374,Building Residential - Addition,Single Family Residence,10412024600,1681189200000,,0,1916 18TH AVE S,NASHVILLE,TN,LOT 77 BELMONT PARK COMPANY ADDN,MAKER CONSTRUCTION LLC,CARA,CAA01R301,4302991,Addition and outbuilding construction    must comply with hcn2022068323,18,-86.79676712,36.13401421,8,37212
T2022009427,Building Residential - Addition,Single Family Residence,173100A08500CO,1644472800000,,10650,6453 SUNNYWOOD DR,ANTIOCH,TN,LOT 61 BARNES BEND ESTATES PHASE 2,GME Constuction,CARA,CAA01R301,4089704,"to construct a 21 x 21 patio cover addition to the rear of residence. 5' min side s/b; 20' min rear s/b. for every 50' site frontage, a 24  x 36 ",31,-86.69849541,36.02141396,9,37013
T2022009621,Building Commercial - New,Restaurant (Full Service),07206024200,1644559200000,,0,3104 GALLATIN PIKE,NASHVILLE,TN,PT LOT 3 PT 33 KENMORE PLACE & PT CL ALLEY,Tim Mehta,CACN,CAF19A203,4090000,"to construct 3053SF restaurant called The Lost and Found.  no parking required.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",6,-86.73693776999998,36.20550288,10,37216
